,Name,Rating,Director,Creator,Genre,DatePublished,Actor 1,Actor 2,Description
10,Uma Vida Toda Empatada,6.1,Tiago P. De Carvalho,Marta Pais Lopes,['Drama'],2021-02-05,Maria João Pinho,Gonçalo Diniz,tv report verg get fire last chanc given surpris maniac want kill son law live tv
11,This England,6.7,Unknown,Unknown,"['Biography', 'Drama', 'History']",2023-11-01,Kenneth Branagh,Simon Paisley Day,drama follow event surround prime minist bori johnson govern face first wave covid-19
12,The Watchers,6.9,Richard Foster,Richard Foster,"['Short', 'Drama']",,Rosemary Lord,Helen Sorokou,yorkshir girl begin see hear thing appar unseen other
13,Heath Ledger Re-Examined,7.8,Unknown,Unknown,"['Documentary', 'Biography']",2020-06-13,Michael Hunter,Heath Ledger,re-investig caus death actor heath ledger
14,A Father'S Job,9.2,Frank Christian Wagner,Frank Christian Wagner,"['Short', 'Drama']",2021-01-07,Dorothee Frauenlob,Christian Harting,father 's job tell stori jewish woman 's fate middl last centuri germani step step connect becom appar result overal view n't come unexpect counterpart ...
15,River Phoenix Re-Examined,7.8,Unknown,Unknown,"['Documentary', 'Biography']",2020-06-13,Michael Hunter,Eric Meyers,re-examin caus death actor river phoenix
16,Religion And The People,4.3,Andrew Buchanan,Unknown,"['Documentary', 'Short']",,Miriam Moses,Richard Rowntree Clifford,social work carri church faith britain
17,Huysuz'La Yilbasi Özel,6.7,Unknown,Unknown,"['Music', 'Talk-Show']",2017-12-31,Muazzez Abaci,Demet Akalin,none
18,Diário De Um Confinado,7.3,Unknown,Unknown,['Comedy'],2020-06-26,Bruno Mazzeo,Renata Sorrah,stay home becom form surviv time pandem day seem repeat murilo tri go crazi touch life insid hous
19,I Do-Over,9.0,Unknown,Unknown,['Reality-Tv'],2020-07-01,Jeremiah Brent,Thai Nguyen,marcu hope surpris tiffani ideal wed redo year loss trio 's help event brim happi heal
20,"Los Jaivas, Todos Juntos",8.3,Unknown,Unknown,"['Documentary', 'Music']",2020-12-31,Unknown,Unknown,none
21,Dungeons & Debate-Gons,7.2,Toby Santos,Andy Wood,"['Comedy', 'Talk-Show']",2020-07-30,Baron Vaughn,Laura Bailey,hit cast critic role `` argu '' high fantasi much
22,V Sartseto Na Mashinata,7.3,Martin Makariev,Martin Makariev,"['Drama', 'Thriller']",2022-03-18,Alexander Sano,Julian Vergov,human hide deepest darkest place
23,Highland Games,6.7,Andrew Fried,Ryan Duffy,"['Documentary', 'Sport']",2020-06-26,Mark Strong,James Dawkins,tradit scottish sport game focus heavi event test competitor abil throw heavi object farthest highest disciplin includ caber toss
24,Freediving,6.7,Austin Reza,Ryan Duffy,"['Documentary', 'Sport']",2020-06-26,Mark Strong,John Wright,mani philippin freediv without oxygen way life 's also demand sport push limit human bodi
25,Roller Derby,6.3,Austin Reza,Ryan Duffy,"['Documentary', 'Sport']",2020-06-26,Mark Strong,April Ritzenthaler,austin texa skater find inclus support commun roller derbi competit blend high speed physic combat
26,Kok Boru,7.4,Austin Reza,Ryan Duffy,"['Documentary', 'Sport']",2020-06-26,Melis Murataliyev,Mark Strong,kyrgyzstan player throw nation sport kok boru rough polo-lik game play hors dead goat ball
27,Catch Fétiche,5.5,Ryan Duffy,Ryan Duffy,"['Documentary', 'Sport']",2020-06-26,Guyga,Mark Strong,profession wrestl republ congo mix athletic showmanship add layer voodoo mystic make unlik anyth els
28,Makepung Lampit,6.2,Austin Reza,Ryan Duffy,"['Documentary', 'Sport']",2020-06-26,Kebrik Yuliadi Putra,Mark Strong,uniqu bali 's jembrana region makepung lampit put spin drag race vehicl water buffalo track flood rice field
29,Pehlwani,5.9,Zia Mandviwalla,Ryan Duffy,"['Documentary', 'Sport']",2020-06-26,Mark Strong,Manohar Lal Yadav,athlet grappl phelwani wrestl contest centuri india women competit arena reserv men
30,Okay Google,6.4,Sam Lucas Smith,Sam Lucas Smith,"['Short', 'Comedy', 'Sci-Fi']",2021-02-26,Rebecca Black,Sam Lucas Smith,vindict ai assist break 'the cloud order enact reveng owner
31,Summerdaze,7.6,Martin Hong,Unknown,"['Short', 'Romance']",2018-07-14,David Eung Hao,Alfred Sng,journey discoveri jeju island search ultim love
32,Surimu Na Mama Ja Irarenai,4.1,Unknown,Masashi Kishimoto,"['Animation', 'Action', 'Adventure']",2020-07-12,Ryôko Shiraishi,Takako Honda,sweet shop 's azuki bean deliveri raid thiev affect store 's sweet bean soup sale cho-cho team anko captur thiev
33,Kara No Ashiato,7.8,Unknown,Masashi Kishimoto,"['Animation', 'Action', 'Adventure']",2020-07-19,Satoshi Hino,Noriaki Sugiyama,sai sasuk travel hidden rain villag investig locat could hideout organ known kara
34,Saw You Last Night On The Tonight Show,8.5,Mike Binder,Mike Binder,"['Documentary', 'Comedy', 'History']",2020-10-04,Jack Albertson,Byron Allen,comedi store 's found gener 1970 launch career legendari comic time freddi prinz richard pryor david letterman jay leno
35,Bluestock,8.4,M.R. Horhager,Traci Paige Johnson,"['Animation', 'Adventure', 'Comedy']",2020-07-14,Joshua Dela Cruz,Ally Brooke,'s bluestock blue 's clue music concert play blue 's clue figur song blue want sing show blue josh excit hear music friend sing includ magenta alli brook
36,The Comedy Strike,8.6,Mike Binder,Mike Binder,"['Documentary', 'Comedy', 'History']",2020-10-11,Ehsan Ahmad,Jack Albertson,1979 comedi strike saw mitzi store 's comic enter one darkest moment comedi histori club soon recov hous incred talent like one richard pryor
37,The Wild Bunch,8.4,Mike Binder,Mike Binder,"['Documentary', 'Comedy', 'History']",2020-10-18,Byron Allen,Jeff Altman,parti year mitzi shore fell sick late 90 store flounder without leadership hot comic retreat club
38,Joe Rogan Returns,8.1,Mike Binder,Mike Binder,"['Documentary', 'Comedy', 'History']",2020-10-25,Tim Allen,Louie Anderson,joe rogan return store seven-year ban massiv podcast stardom rogan pal like marc maron bill burr whitney cum make store hottest club industri
39,The Birth Of A Bit,7.6,Mike Binder,Mike Binder,"['Documentary', 'Comedy', 'History']",2020-11-01,Byron Allen,Tim Allen,fifth final episod spotlight mitzi shore 's death impact icon club 's run store also explor current state stand-up new style show develop famou stage
40,The Third Person,6.5,Pouya Aminpouri,Pouya Aminpouri,"['Short', 'Mystery', 'Thriller']",2020-06-09,Mojtaba Batvandi,Siavash Cheraghi Pour,patient run away mental asylum iran 's northern forest unit two nearbi polic station look road
41,Big X,8.2,Unknown,Unknown,['Animation'],1964-08-03,Unknown,Unknown,none
42,Stripped: Los Angeles,5.3,Marc Ostrick,Marc Ostrick,['Documentary'],2020-09-01,Bama Babii,Erica Solitaire Chappell,unflinch look lo angel top exot privat dancer enter full-access pass live five women whose raw ambit drive struggl taboo femal empower
43,Episode #1.533,7.9,Unknown,Unknown,"['Drama', 'Fantasy', 'Horror']",1968-07-10,Unknown,Unknown,none
44,Time'S Up,4.4,L.C. Holt,L.C. Holt,['Horror'],2023-07-18,Damian Maffei,Hannah Fierman,new year 's eve faculti parti teacher still reel suicid bulli student goe horribl wrong unexpect guest arriv unusu request particip scaveng hunt -- die
45,Monday Morning Critic Podcast,7.6,Unknown,Unknown,['Talk-Show'],2017-01-17,Unknown,Unknown,monday morn critic podcast develop passion peopl whose work move guest hand pick purpos select format storytel done properli
46,Crazy Vhs Tape Cover Art,8.0,Unknown,Unknown,['Talk-Show'],2020-06-26,Kieran Fallon,Antonio Piluso,seri final rental review jame toni kieran justin look interest vh cover art broken multipl categori crazi one bad one mislead one one great taglin
47,Boys Of A Certain Age,7.1,Spencer Wardwell,Spencer Wardwell,"['Short', 'Drama', 'Thriller']",,Joshua James Benard,Matt Gomez Hidaka,cole boy cusp puberti escap tumultu home life spend hot summer day best friend angel weekend self-discoveri watch omin voyeur remind cole ...
48,Home Movie: The Princess Bride,7.9,Unknown,Unknown,"['Short', 'Comedy', 'Fantasy']",2020-06-29,Rob Reiner,Thomas Lennon,serial remak 'the princess bride told short chapter featur celebr home quarantin
49,To Catch A Smuggler,7.3,Unknown,Unknown,"['Crime', 'Reality-Tv']",2020-01-01,David C. Schweizer,Arthur L. Braddy Iii,million enter us airport year hid amongst stream contraband dh stop noth catch smuggler
50,Lace,3.8,Unknown,Tracy Grant,['Drama'],2021-11-04,Mollie Dolcimascolo,Taylor Bynoe,lacey prolif lawyer rich power lo angel make anyon 's problem disappear -- except often blur line right wrong
51,A Celebration Of Lgbtq+ Stories On Screen,5.5,Unknown,Unknown,"['Short', 'News']",2020-06-26,Unknown,Unknown,honor pride month celebr favorit lgbtq+ stori screen
52,"Kumo Desu Ga, Nanika?",7.2,Unknown,Unknown,"['Animation', 'Adventure', 'Comedy']",2021-01-08,Aoi Yûki,Shun Horie,someth mysteri happen entir class find reincarn rpg-game-lik fantasi world main charact girl find reincarn spider abl surviv find hap ...
53,100 Jahre Ufa - Im Maschinenraum Des Deutschen Films,6.1,Sigrid Faltin,Sigrid Faltin,['Documentary'],2017-08-28,Nadja Uhl,Mario Adorf,ufa germani 's success dream factori written film histori classic like 'metropoli fritz lang made hollywood great like alfr hitchcock billi wilder shot film studio
54,Won'T You Be My Neighbor?,8.2,Unknown,Unknown,['Documentary'],2020-08-31,Unknown,Unknown,filmmak morgan nevil examin life legaci fred roger belov host popular children 's tv show `` mister roger neighborhood ''
55,Téléboubizes/Aspégix 3,6.6,Unknown,Unknown,"['Animation', 'Short', 'Comedy']",2020-01-31,Rachid Baha,Yves Bigerel,none
56,Nemo T'Es Ken/Il Était Une Fois Le Vit,7.0,Unknown,Unknown,"['Animation', 'Short', 'Comedy']",2020-02-07,Yves Bigerel,Guillaume Darnault,none
57,Fortnaze/Jimmy Lannister,6.4,Unknown,Unknown,"['Animation', 'Short', 'Comedy']",2020-02-14,Yves Bigerel,Jeanne Chartier,none
58,Hellbol/Totally Spé,5.8,Unknown,Unknown,"['Animation', 'Short', 'Comedy']",2020-03-06,Yves Bigerel,Jeanne Chartier,none
59,Put A Sock In It,7.0,Ari Castleton,Ari Castleton,"['Animation', 'Short', 'Adventure']",2020-06-16,Asher Bishop,Jessica Dicicco,loud sibl put sock puppet show comfort cri lili
60,Alladech/Le Roi Fion,6.4,Unknown,Unknown,"['Animation', 'Short', 'Comedy']",2020-05-08,Yves Bigerel,Kaycie Chase,none
61,10 Headed Beast,7.0,Unknown,Unknown,"['Animation', 'Short', 'Adventure']",2020-06-17,Asher Bishop,Jessica Dicicco,linc white hair ka-lyd battl ten-head beast guard artifact cure boredom
62,King Of The Chair,7.2,Unknown,Unknown,"['Animation', 'Short', 'Adventure']",2020-06-18,Asher Bishop,Jessica Dicicco,tri repeat histori loud sibl promis destroy dad 's new chair
63,American Bigfoot,7.4,Lance Polland,Lance Polland,"['Action', 'Adventure', 'Comedy']",2022-10-04,Laura Stetman,Hans Hernke,fledgl televis show `` creatur expedit '' find brink cancel desper rate boost show 's host guidanc produc gather lovabl crew dimwit set ...
64,Fast Talk,7.6,Jobie Nam,Unknown,"['Short', 'Documentary']",2019-06-08,Josh Moschitta,Steve Woodmore,none
65,Fantano,7.0,Unknown,Unknown,['Talk-Show'],2017-05-18,Anthony Fantano,Kristin Hayter,turn internet 's busiest music nerd busi one channel dedic music 'll find discuss rant music industri well idea wo n't fit needl drop
66,My Final Call As A Police Dispatcher Has Scarred Me,8.7,Ryan Bergara,Adam Abdur-Rahman,"['Comedy', 'Game-Show', 'Horror']",2020-06-26,Ryan Bergara,Shane Madej,911 dispatch get extrem unusu call ryan read
67,Songbird,4.8,Adam Mason,Adam Mason,"['Drama', 'Sci-Fi', 'Thriller']",2020-12-11,K.J. Apa,Sofia Carson,2024 pandem ravag world citi center hand peopl navig obstacl current hinder societi diseas martial law quarantin vigilant
68,Kasabian: You'Re In Love With A Psycho,7.8,Unknown,Unknown,"['Music', 'Musical']",2017-03-30,Unknown,Unknown,fit track titl band play institut inmat perform song
69,My Last Best Friend,8.4,Filippo M. Prandi,Filippo M. Prandi,['Drama'],2023-07-28,Eric Roberts,Carol Alt,new york citi earli 2020. two men name walter stoyanov watch live get turn upsid one test posit covid-19 one investig fbi special agent john mccallani
70,Gina G: Ooh Aah... Just A Little Bit,6.1,Unknown,Unknown,['Music'],1996-03-25,Unknown,Unknown,none
71,Episode 1,9.6,Al Beily Ahmad,Fajer Al Saeed,['Comedy'],2003-10-26,Abdulhussain Abdulredha,Khaled Al-Nafisi,dawa look forward marriag brother manah neighbor khater well marriag sister fatoon get marri
72,Toxic Desire: Addiction,8.5,Yoon Yeo-Chang,Tae-Sung Jung,['Thriller'],2014-09-25,Sun-Young Kim,Hong Kyoung-In,psychiatrist pain past wit wife kill rape suffer insomnia meet beauti girl everi man love die mysteri suspect ...
73,Ju E Dao,3.9,Shixing Xu,Minming Ni,"['Adventure', 'Horror']",,Gallen Lo,Yinyue Liao,area around devil 's sea also known bermuda triangl asia due electromagnet interfer aviat accid occur frequent area lin hao gallen lo daughter yi liao yinyu passen ...
74,Property Watch Melbourne,8.8,Unknown,Unknown,['Documentary'],2020-06-27,Irhad Tuzlokovic,Micheal Su,explor melbourn properti market state 's top rate agent well learn must know everi buyer know enter market join irhad tuzlukov mike su explor unknown ...
75,Stone Sour: Through Glass,7.1,Unknown,Unknown,['Music'],,Unknown,Unknown,music video stone sour 's song 'through glass
76,Suno Parth,8.2,Unknown,Unknown,['Talk-Show'],2019-07-05,Ritu Singh,Praddeep Chandiramani,suno parth religi talk show revolv around ritu singh pooja mathur pradeep chandiramani
77,Betrayed,6.8,Fab Filippo,Danielle Cole,"['Documentary', 'Crime']",2020-06-25,Michael Arntfield,Cris Barrish,newlyw joe olga connel gun outsid wilmington delawar home polic must investig sibl rivalri busi partnership plagu drug outlaw motorcycl gang
78,Jon Stewart,7.0,Unknown,Unknown,"['Comedy', 'Talk-Show']",2020-06-26,Joe Rogan,Jon Stewart,jon stewart comedian director writer produc activist televis host 's director new film `` irresist ''
79,Bratya Po Krovi,2.4,Unknown,Unknown,['Crime'],2019-10-15,Erik Abramovich,Aleksandr Bezverkhiy,none
80,The Socially Desi Show,9.2,Unknown,Unknown,['None'],2020-04-24,Unknown,Unknown,podcast show host discuss tip strategi guest speaker tackl problem relat person growth mental health relationship entrepreneurship health fit
81,Belle Delphine: I'M Back,7.1,Unknown,Unknown,"['Comedy', 'Music']",2020-06-17,Unknown,Unknown,mental derang karen ask money refund instead greet underworld king peter whistler must train peter whistler fan subscrib consum bathw ...
82,Dirty Jobs: Rowe'D Trip,7.5,Unknown,Unknown,['Reality-Tv'],2020-07-07,Mike Rowe,David M. Barsky,part road-trip part look-back-speci part `` where-are-they-now '' show highlight everyth made dirti job 2005 `` essenti '' franchis origin crew travel togeth mini-rv reminisc thi ...
83,Zapasnoy Igrok,3.2,Unknown,Unknown,"['Drama', 'Sport']",,Oleg Chugunov,Aleksey Filimonov,none
84,"July 1, 2020",5.7,Jason Jones,Kristen Bartlett,"['Comedy', 'News', 'Talk-Show']",2020-07-01,William J. Barber Ii,Samantha Bee,full frontal highlight presid 's continu war free press push new campaign support endang postal servic plu mike brown learn `` riot '' thing silversun pickup deliv ...
85,"July 15, 2020",6.0,Jason Jones,Kristen Bartlett,"['Comedy', 'News', 'Talk-Show']",2020-07-15,Samantha Bee,Lars Ulrich,sam warn anti-mask hysteria critic fact gay peopl still n't allow donat blood like everyon els even time crisi talk metallica 's lar ulrich effort help feed ame ...
86,"July 22, 2020",5.8,Jason Jones,Kristen Bartlett,"['Comedy', 'News', 'Talk-Show']",2020-07-22,Samantha Bee,Masha Gessen,sam critic governor complet fail enforc measur could curb contagion ask persecut russian journalist masha gessen 's hope america indi pop band misterw perfo ...
87,Swamp People: Serpent Invasion,6.5,Unknown,Unknown,"['Action', 'Reality-Tv']",2020-03-12,Bill Booth,Troy Landry,invas burmes python decim everglad entir speci anim wipe python natur predat stop except man
88,The Codebreaker,8.0,Chana Gazit,Jason Fagone,"['Documentary', 'Biography', 'History']",2021-01-11,Kate Burton,Jason Fagone,work elizebeth smith friedman america 's first femal cryptanalyst bring al capon break nazi spi ring south america lay foundat nation secur agenc nsa
89,Citizen Hearst: Part 1,7.8,Amanda Pollak,Gene Tempest,"['Documentary', 'Biography', 'History']",2021-09-27,Robert Chiles,Marion Davies,1930 william randolph hearst 's media empir includ 28 newspap movi studio syndic wire servic radio station 13 magazin nearli one four american famili read hearst public newspap ...
90,The Blinding Of Isaac Woodard,8.1,Jamila Ephron,Unknown,"['Documentary', 'Biography', 'History']",2021-03-30,Eliza Briggs,Nathaniel Briggs,blind isaac woodard horrif incid racial violenc becam power catalyst civil right movement 1946 isaac woodard black armi sergeant way home south carolina serv w ...
91,Uncomfortable Conversations With A Black Man,6.4,Unknown,Unknown,"['Documentary', 'Short', 'Reality-Tv']",2020-06-03,Emmanuel Acho,Matthew Mcconaughey,convers emmanuel acho race mani white peopl never abl
92,Thrill Of The Chase,9.3,Ivan Andrew Payawal,Ash Malanum,"['Comedy', 'Drama', 'Romance']",2020-06-26,Kokoy De Santos,Elijah Canlas,terrenc come pictur cairo start question place gav 's heart
93,Blood Psalms,5.4,Unknown,Unknown,"['Action', 'Drama', 'Fantasy']",2022-09-28,Mothusi Magano,Sello Maake Ka-Ncube,set ancient africa one thousand day fall atlanti 'blood psalm explor stori five surviv hous kemet find beset fear prophesi end day
94,Dragons: Rescue Riders: Secrets Of The Songwing,5.1,Greg Rankin,Steven Altiere,"['Animation', 'Action', 'Adventure']",2020-07-24,Noah Kaye Bentley,Brennley Brown,music dragon beauti voic hypnot dragon peopl huttsgalor rescu rider find way break spell
95,Le Jour Où...,6.5,Chantal Akerman,Unknown,['Short'],,Unknown,Unknown,none
96,Naut,5.9,Shane Ainsworth,Unknown,['Short'],2020-06-08,Marik Knight,Joe Barlam,none
97,Pour La France,6.2,Vincent Chansard,Unknown,"['Animation', 'Short', 'History']",2019-10-10,Isabelle Barbereau,François Jerosme,1871 germani defeat franc sedan provision french govern versail order fulfil request impos armistic launch offens take back pari communard revolutio ...
98,Romeo And Juliet,8.9,Park Shin Woo,Jo Yong,"['Comedy', 'Drama', 'Romance']",2020-07-26,Kim Soo-Hyun,Seo Ye-Ji,want overcom trauma sang tae open darkest memori cruel twist fate threaten kang tae 's newfound happi
99,The King Has Donkey Ears,8.8,Park Shin Woo,Jo Yong,"['Comedy', 'Drama', 'Romance']",2020-07-18,Kim Soo-Hyun,Seo Ye-Ji,kang tae moon young decid go day trip togeth unforeseen situat crop mountain getaway
100,"The Hand, The Monkfish",8.8,Park Shin Woo,Jo Yong,"['Comedy', 'Drama', 'Romance']",2020-08-02,Kim Soo-Hyun,Seo Ye-Ji,ident vandal ruin sang tae 's mural send everyon state shock moon young struggl process devast truth
101,The Father Of The Two Sisters,8.7,Park Shin Woo,Jo Yong,"['Comedy', 'Drama', 'Romance']",2020-08-01,Kim Soo-Hyun,Seo Ye-Ji,sang tae show kang tae 's practic draw greatest fear moon young receiv word father 's worsen condit
102,The Girl Who Cried Wolf,8.6,Park Shin Woo,Jo Yong,"['Comedy', 'Drama', 'Romance']",2020-07-19,Kim Soo-Hyun,Seo Ye-Ji,refus go home sang tae coop room kang tae wrestl demon past constraint present
103,The Ugly Duckling,9.1,Park Shin Woo,Jo Yong,"['Comedy', 'Drama', 'Romance']",2020-07-25,Kim Soo-Hyun,Seo Ye-Ji,escap patient show mansion moon young make effort chang sang tae 's mind allow place brother live
104,A Tale Of Two Brothers,8.7,Park Shin Woo,Jo Yong,"['Comedy', 'Drama', 'Romance']",2020-08-08,Kim Soo-Hyun,Seo Ye-Ji,chill phone call kang tae rush mansion later moon young ask brother leav refus listen
105,Finding The Real Face,9.3,Park Shin Woo,Jo Yong,"['Comedy', 'Drama', 'Romance']",2020-08-09,Kim Soo-Hyun,Seo Ye-Ji,moon young decid publish new fairi tale everyon come togeth hospit read book
106,Episode #1.2,8.6,Kang Hyo-Jin,Yu-Jin Lee,"['Action', 'Comedy', 'Crime']",2020-05-24,Cha Tae-Hyun,Lee Sun-Bin,none
107,Episode #1.3,8.9,Kang Hyo-Jin,Yu-Jin Lee,"['Action', 'Comedy', 'Crime']",2020-05-30,Cha Tae-Hyun,Lee Sun-Bin,none
108,Episode #1.6,9.0,Kang Hyo-Jin,Yu-Jin Lee,"['Action', 'Comedy', 'Crime']",2020-06-07,Cha Tae-Hyun,Lee Sun-Bin,none
109,Episode #1.8,8.7,Kang Hyo-Jin,Yu-Jin Lee,"['Action', 'Comedy', 'Crime']",2020-06-14,Cha Tae-Hyun,Lee Sun-Bin,none
110,Episode #1.5,8.7,Kang Hyo-Jin,Yu-Jin Lee,"['Action', 'Comedy', 'Crime']",2020-06-06,Cha Tae-Hyun,Lee Sun-Bin,none
111,Episode #1.4,8.9,Kang Hyo-Jin,Yu-Jin Lee,"['Action', 'Comedy', 'Crime']",2020-05-31,Cha Tae-Hyun,Lee Sun-Bin,none
112,Episode #1.10,9.0,Kang Hyo-Jin,Yu-Jin Lee,"['Action', 'Comedy', 'Crime']",2020-06-21,Cha Tae-Hyun,Lee Sun-Bin,none
113,Episode #1.9,9.0,Kang Hyo-Jin,Yu-Jin Lee,"['Action', 'Comedy', 'Crime']",2020-06-20,Cha Tae-Hyun,Lee Sun-Bin,none
114,Episode #1.7,8.8,Kang Hyo-Jin,Yu-Jin Lee,"['Action', 'Comedy', 'Crime']",2020-06-13,Cha Tae-Hyun,Lee Sun-Bin,none
115,Episode #1.11,9.3,Kang Hyo-Jin,Yu-Jin Lee,"['Action', 'Comedy', 'Crime']",2020-06-27,Cha Tae-Hyun,Lee Sun-Bin,none
116,Episode #1.12,9.5,Kang Hyo-Jin,Yu-Jin Lee,"['Action', 'Comedy', 'Crime']",2020-06-28,Cha Tae-Hyun,Lee Sun-Bin,none
117,One Night Only?,6.9,Diego Velasco,Lena Waithe,['Comedy'],2021-10-13,Jojo T. Gibbs,Christina Elmore,hatti juggl work script tri develop relationship ida b. nia start first day cocoa 's butter mari begin question relationship chuck
118,Don'T Cross The Line,8.5,Myoungwoo Lee,Geun Joo Son,"['Action', 'Comedy', 'Romance']",2020-07-03,Kim Yoo-Jung,Ji Chang-Wook,though yeon-joo jealou wit saet-byul get piggyback ride dae-hyun still invit eat
119,Thank You For That,8.5,Myoungwoo Lee,Geun Joo Son,"['Action', 'Comedy', 'Romance']",2020-07-04,Kim Yoo-Jung,Ji Chang-Wook,saet-byul attack retali dae-hyun close rush aid despit saet-byul fine need surgeri append
120,"What Is It, Jeong Saet-Byeol?",8.6,Myoungwoo Lee,Geun Joo Son,"['Action', 'Comedy', 'Romance']",2020-07-10,Kim Yoo-Jung,Ji Chang-Wook,saet-byul tell dae-hyun 's quit saet-byul eun-byul forc apart find sever other build scam
121,I Drank Tea Well,8.5,Myoungwoo Lee,Geun Joo Son,"['Action', 'Comedy', 'Romance']",2020-07-11,Kim Yoo-Jung,Ji Chang-Wook,saet-byul wind sleep choi famili home night startl dae-hyun 's invit stay find anoth place
122,Meet A Suitable Person,8.5,Myoungwoo Lee,Geun Joo Son,"['Action', 'Comedy', 'Romance']",2020-07-17,Kim Yoo-Jung,Ji Chang-Wook,yeon-joo annoy find saet-byul live well like choi famili yeon-joo dae-hyun get fight
123,"Sleep Well, Manager",8.7,Myoungwoo Lee,Geun Joo Son,"['Action', 'Comedy', 'Romance']",2020-07-18,Kim Yoo-Jung,Ji Chang-Wook,dae-hyun heartbroken yeon-joo break leav seung-joon two go drink dae-hyun return store work eun-byul found saet-byul wit girl group
124,The Bet,7.4,Michael Ray Rhodes,Tom Chehak,['None'],,Redmond Gleeson,Panchito Gómez,brian taunt prostitut derelict skid row cruis hollywood boulevard friday night friend frighten street life companion bet wo n't spend weekend brian acc ...
125,Love Letter,9.4,Kim Tae Yeop,Jeon Hee-Yeung,"['Drama', 'Romance']",2020-04-25,Park Jin-Young,Lee Bo-Young,jae hyun get prison four year san tell jae hyun manag hyung sung supermarket instead becom group 's vice-chairman ji su watch movi `` love letter '' tv think old day jae hyun goe ...
126,Shao Nian Gong,7.6,Shuang Xin,Joe Cacaci,"['Crime', 'Drama', 'Thriller']",2020-06-17,Hao Qin,Jingchun Wang,zhu chaoyang take advantag zhang dongsheng 's careless plant warn letter zhu jingj convinc pu pu stop bulli
127,Great Escape,8.1,Unknown,Unknown,"['Adventure', 'Horror', 'Mystery']",,Mi Yang,Allen Deng,group cast member wei daxun deng lun yang mi xie yilin justin zhang guowei work togeth escap secret room varieti differ locat puzzl horror await locat bra ...
128,Söhne Der Sonne,7.3,Unknown,Unknown,"['Documentary', 'History']",,James Newton,Antje Gunsenheimer,rise fall maya inca aztec three pre-columbian civil whose great mysteri fascin
129,Episode #1.3,7.8,Nam-Kook Jo,Jin-Won Choi,"['Action', 'Drama', 'Mystery']",2020-07-13,Son Hyeon-Ju,Jang Seung-Jo,park gung-ho releas meet stranger order kill dae-cheol jail exchang gambl debt stranger kill park sinc park taken incrimin photo da-chang oh hunt mo ...
130,Episode #1.7,8.2,Nam-Kook Jo,Jin-Won Choi,"['Action', 'Drama', 'Mystery']",2020-07-27,Son Hyeon-Ju,Jang Seung-Jo,yoo whose appoint minist immin perceiv oh jong threat dae-cheol 's retrial begin oh ji 's wrist-watch bought auction vital link prove dae-cheol 's innoc sever polic offic pertu ...
131,Episode #1.6,8.0,Nam-Kook Jo,Jin-Won Choi,"['Action', 'Drama', 'Mystery']",2020-07-21,Son Hyeon-Ju,Jang Seung-Jo,dae-cheol sign petit retrial judg unsur jin tip media protest take place petit admit do-chang secretli decid implic superior captain nam ...
